---Settings being used---
Namespace(input_size=2, hidden_size=2, num_layers=1, train_size=250, test_size=100, lr=0.05, epochs=1000, runs=5, patience=30, batch_size=250, dropout=0.0, weight_decay=0.0, m=100, k=10000, noise_size=1, model='rlc', dataset='sin', OOD=False)
-------------------------
Creating training data
torch.Size([250, 2]) torch.Size([250, 1])
Ratio  +/-:	 tensor(0.4320, dtype=torch.float64)
Creating validation data
torch.Size([100, 2]) torch.Size([100, 1])
Ratio  +/-:	 tensor(0.4400, dtype=torch.float64)
Creating test data
torch.Size([100, 2]) torch.Size([100, 1])
Ratio  +/-:	 tensor(0.5700, dtype=torch.float64)
Constant classifier: 0.57
0 ==	 Loss:	 0.7643283009529114 LR:	 [0.049999753260397316] Train acc:	 0.656000018119812 Val acc:	 0.7899999618530273 Test acc:	 0.7299999594688416 Patience:	 30 0.7899999618530273
21 ==	 Loss:	 0.7151976823806763 LR:	 [0.0499350123442232] Train acc:	 0.4880000352859497 Val acc:	 0.5699999928474426 Test acc:	 0.4699999988079071 Patience:	 9 0.7899999618530273
22 ==	 Loss:	 0.7143690586090088 LR:	 [0.049929219218711504] Train acc:	 0.48000001907348633 Val acc:	 0.5799999833106995 Test acc:	 0.4699999988079071 Patience:	 8 0.7899999618530273
23 ==	 Loss:	 0.7134119868278503 LR:	 [0.049923180054305245] Train acc:	 0.48000001907348633 Val acc:	 0.5699999928474426 Test acc:	 0.4699999988079071 Patience:	 7 0.7899999618530273
24 ==	 Loss:	 0.7124518156051636 LR:	 [0.04991689491060857] Train acc:	 0.48000001907348633 Val acc:	 0.5699999928474426 Test acc:	 0.4699999988079071 Patience:	 6 0.7899999618530273
25 ==	 Loss:	 0.7114093899726868 LR:	 [0.04991036384965323] Train acc:	 0.48000001907348633 Val acc:	 0.5699999928474426 Test acc:	 0.4699999988079071 Patience:	 5 0.7899999618530273
26 ==	 Loss:	 0.7100976705551147 LR:	 [0.04990358693589821] Train acc:	 0.4880000352859497 Val acc:	 0.5799999833106995 Test acc:	 0.4699999988079071 Patience:	 4 0.7899999618530273
27 ==	 Loss:	 0.7089895606040955 LR:	 [0.04989656423622887] Train acc:	 0.48000001907348633 Val acc:	 0.5699999928474426 Test acc:	 0.4699999988079071 Patience:	 3 0.7899999618530273
28 ==	 Loss:	 0.7080085277557373 LR:	 [0.04988929581995637] Train acc:	 0.47600001096725464 Val acc:	 0.5799999833106995 Test acc:	 0.4599999785423279 Patience:	 2 0.7899999618530273
29 ==	 Loss:	 0.7069685459136963 LR:	 [0.049881781758817065] Train acc:	 0.484000027179718 Val acc:	 0.5799999833106995 Test acc:	 0.4699999988079071 Patience:	 1 0.7899999618530273
Creating training data
torch.Size([250, 2]) torch.Size([250, 1])
Ratio  +/-:	 tensor(0.4320, dtype=torch.float64)
Creating validation data
torch.Size([100, 2]) torch.Size([100, 1])
Ratio  +/-:	 tensor(0.4400, dtype=torch.float64)
Creating test data
torch.Size([100, 2]) torch.Size([100, 1])
Ratio  +/-:	 tensor(0.5700, dtype=torch.float64)
Constant classifier: 0.57
0 ==	 Loss:	 0.8571797013282776 LR:	 [0.049999753260397316] Train acc:	 0.17600001394748688 Val acc:	 0.2199999988079071 Test acc:	 0.25999999046325684 Patience:	 30 0.2199999988079071
1 ==	 Loss:	 0.8353937864303589 LR:	 [0.04999913641550001] Train acc:	 0.17600001394748688 Val acc:	 0.2199999988079071 Test acc:	 0.25999999046325684 Patience:	 29 0.2199999988079071
2 ==	 Loss:	 0.8191105127334595 LR:	 [0.04999827284165407] Train acc:	 0.17600001394748688 Val acc:	 0.22999998927116394 Test acc:	 0.25999999046325684 Patience:	 30 0.22999998927116394
3 ==	 Loss:	 0.8058944344520569 LR:	 [0.04999716254738256] Train acc:	 0.17600001394748688 Val acc:	 0.2199999988079071 Test acc:	 0.25999999046325684 Patience:	 29 0.22999998927116394
4 ==	 Loss:	 0.7943482995033264 LR:	 [0.04999580554364363] Train acc:	 0.17600001394748688 Val acc:	 0.2199999988079071 Test acc:	 0.25999999046325684 Patience:	 28 0.22999998927116394
5 ==	 Loss:	 0.7846130728721619 LR:	 [0.04999420184383034] Train acc:	 0.17600001394748688 Val acc:	 0.2199999988079071 Test acc:	 0.25999999046325684 Patience:	 27 0.22999998927116394
6 ==	 Loss:	 0.7759609222412109 LR:	 [0.04999235146377055] Train acc:	 0.18000000715255737 Val acc:	 0.2199999988079071 Test acc:	 0.25999999046325684 Patience:	 26 0.22999998927116394
7 ==	 Loss:	 0.7682909965515137 LR:	 [0.04999025442172672] Train acc:	 0.18000000715255737 Val acc:	 0.22999998927116394 Test acc:	 0.25999999046325684 Patience:	 25 0.22999998927116394
8 ==	 Loss:	 0.761658787727356 LR:	 [0.049987910738395834] Train acc:	 0.18400001525878906 Val acc:	 0.2199999988079071 Test acc:	 0.25999999046325684 Patience:	 24 0.22999998927116394
9 ==	 Loss:	 0.7557610869407654 LR:	 [0.04998532043690905] Train acc:	 0.18800000846385956 Val acc:	 0.2199999988079071 Test acc:	 0.25999999046325684 Patience:	 23 0.22999998927116394
10 ==	 Loss:	 0.7505363821983337 LR:	 [0.04998248354283159] Train acc:	 0.20400001108646393 Val acc:	 0.22999998927116394 Test acc:	 0.25999999046325684 Patience:	 22 0.22999998927116394
11 ==	 Loss:	 0.7457326054573059 LR:	 [0.04997940008416244] Train acc:	 0.19200000166893005 Val acc:	 0.23999999463558197 Test acc:	 0.26999998092651367 Patience:	 30 0.23999999463558197
12 ==	 Loss:	 0.7415642142295837 LR:	 [0.049976070091334056] Train acc:	 0.19200000166893005 Val acc:	 0.26999998092651367 Test acc:	 0.2800000011920929 Patience:	 30 0.26999998092651367
13 ==	 Loss:	 0.7378901839256287 LR:	 [0.04997249359721215] Train acc:	 0.23600001633167267 Val acc:	 0.25 Test acc:	 0.3400000035762787 Patience:	 29 0.26999998092651367
14 ==	 Loss:	 0.7345548868179321 LR:	 [0.04996867063709519] Train acc:	 0.25200000405311584 Val acc:	 0.28999999165534973 Test acc:	 0.3100000023841858 Patience:	 30 0.28999999165534973
15 ==	 Loss:	 0.7313806414604187 LR:	 [0.04996460124871427] Train acc:	 0.24400001764297485 Val acc:	 0.29999998211860657 Test acc:	 0.35999998450279236 Patience:	 30 0.29999998211860657
16 ==	 Loss:	 0.7285519242286682 LR:	 [0.04996028547223258] Train acc:	 0.3240000009536743 Val acc:	 0.29999998211860657 Test acc:	 0.3999999761581421 Patience:	 29 0.29999998211860657
17 ==	 Loss:	 0.7260865569114685 LR:	 [0.049955723350245104] Train acc:	 0.36400002241134644 Val acc:	 0.3700000047683716 Test acc:	 0.3799999952316284 Patience:	 30 0.3700000047683716
18 ==	 Loss:	 0.7237405180931091 LR:	 [0.049950914927778096] Train acc:	 0.4480000138282776 Val acc:	 0.35999998450279236 Test acc:	 0.4699999988079071 Patience:	 29 0.3700000047683716
19 ==	 Loss:	 0.7216668128967285 LR:	 [0.04994586025228872] Train acc:	 0.47600001096725464 Val acc:	 0.41999998688697815 Test acc:	 0.4899999797344208 Patience:	 30 0.41999998688697815
20 ==	 Loss:	 0.7196532487869263 LR:	 [0.0499405593736646] Train acc:	 0.5040000081062317 Val acc:	 0.4099999964237213 Test acc:	 0.5199999809265137 Patience:	 29 0.41999998688697815
21 ==	 Loss:	 0.7178873419761658 LR:	 [0.0499350123442232] Train acc:	 0.5200000405311584 Val acc:	 0.429999977350235 Test acc:	 0.5299999713897705 Patience:	 30 0.429999977350235
22 ==	 Loss:	 0.716149091720581 LR:	 [0.049929219218711504] Train acc:	 0.5160000324249268 Val acc:	 0.429999977350235 Test acc:	 0.5299999713897705 Patience:	 29 0.429999977350235
23 ==	 Loss:	 0.7146322727203369 LR:	 [0.049923180054305245] Train acc:	 0.5200000405311584 Val acc:	 0.429999977350235 Test acc:	 0.5299999713897705 Patience:	 28 0.429999977350235
24 ==	 Loss:	 0.7131579518318176 LR:	 [0.04991689491060857] Train acc:	 0.5200000405311584 Val acc:	 0.429999977350235 Test acc:	 0.5299999713897705 Patience:	 27 0.429999977350235
25 ==	 Loss:	 0.7117941975593567 LR:	 [0.04991036384965323] Train acc:	 0.5200000405311584 Val acc:	 0.429999977350235 Test acc:	 0.5299999713897705 Patience:	 26 0.429999977350235
26 ==	 Loss:	 0.7105444669723511 LR:	 [0.04990358693589821] Train acc:	 0.5200000405311584 Val acc:	 0.429999977350235 Test acc:	 0.5299999713897705 Patience:	 25 0.429999977350235
27 ==	 Loss:	 0.7093210816383362 LR:	 [0.04989656423622887] Train acc:	 0.5200000405311584 Val acc:	 0.429999977350235 Test acc:	 0.5299999713897705 Patience:	 24 0.429999977350235
28 ==	 Loss:	 0.7082003355026245 LR:	 [0.04988929581995637] Train acc:	 0.5200000405311584 Val acc:	 0.429999977350235 Test acc:	 0.5299999713897705 Patience:	 23 0.429999977350235
29 ==	 Loss:	 0.7071171998977661 LR:	 [0.049881781758817065] Train acc:	 0.5200000405311584 Val acc:	 0.429999977350235 Test acc:	 0.5299999713897705 Patience:	 22 0.429999977350235
30 ==	 Loss:	 0.7061527371406555 LR:	 [0.04987402212697167] Train acc:	 0.5200000405311584 Val acc:	 0.429999977350235 Test acc:	 0.5299999713897705 Patience:	 21 0.429999977350235
31 ==	 Loss:	 0.7051562666893005 LR:	 [0.04986601700100462] Train acc:	 0.5200000405311584 Val acc:	 0.429999977350235 Test acc:	 0.5299999713897705 Patience:	 20 0.429999977350235
32 ==	 Loss:	 0.7042723894119263 LR:	 [0.049857766459923215] Train acc:	 0.5200000405311584 Val acc:	 0.429999977350235 Test acc:	 0.5299999713897705 Patience:	 19 0.429999977350235
33 ==	 Loss:	 0.7033745646476746 LR:	 [0.049849270585157014] Train acc:	 0.5200000405311584 Val acc:	 0.429999977350235 Test acc:	 0.5299999713897705 Patience:	 18 0.429999977350235
34 ==	 Loss:	 0.702594518661499 LR:	 [0.049840529460556796] Train acc:	 0.5200000405311584 Val acc:	 0.429999977350235 Test acc:	 0.5299999713897705 Patience:	 17 0.429999977350235
35 ==	 Loss:	 0.7018432021141052 LR:	 [0.04983154317239392] Train acc:	 0.5200000405311584 Val acc:	 0.429999977350235 Test acc:	 0.5299999713897705 Patience:	 16 0.429999977350235
36 ==	 Loss:	 0.7010688781738281 LR:	 [0.04982231180935942] Train acc:	 0.5200000405311584 Val acc:	 0.429999977350235 Test acc:	 0.5299999713897705 Patience:	 15 0.429999977350235
37 ==	 Loss:	 0.7004390358924866 LR:	 [0.049812835462563106] Train acc:	 0.5200000405311584 Val acc:	 0.429999977350235 Test acc:	 0.5299999713897705 Patience:	 14 0.429999977350235
38 ==	 Loss:	 0.6997514367103577 LR:	 [0.04980311422553267] Train acc:	 0.5200000405311584 Val acc:	 0.429999977350235 Test acc:	 0.5299999713897705 Patience:	 13 0.429999977350235
39 ==	 Loss:	 0.6991807818412781 LR:	 [0.04979314819421278] Train acc:	 0.5200000405311584 Val acc:	 0.429999977350235 Test acc:	 0.5299999713897705 Patience:	 12 0.429999977350235
40 ==	 Loss:	 0.6985551714897156 LR:	 [0.04978293746696412] Train acc:	 0.5200000405311584 Val acc:	 0.429999977350235 Test acc:	 0.5299999713897705 Patience:	 11 0.429999977350235
41 ==	 Loss:	 0.6979191303253174 LR:	 [0.04977248214456242] Train acc:	 0.5200000405311584 Val acc:	 0.429999977350235 Test acc:	 0.5299999713897705 Patience:	 10 0.429999977350235
42 ==	 Loss:	 0.6973356008529663 LR:	 [0.049761782330197506] Train acc:	 0.5200000405311584 Val acc:	 0.429999977350235 Test acc:	 0.5299999713897705 Patience:	 9 0.429999977350235
43 ==	 Loss:	 0.6968142986297607 LR:	 [0.04975083812947217] Train acc:	 0.5200000405311584 Val acc:	 0.429999977350235 Test acc:	 0.5299999713897705 Patience:	 8 0.429999977350235
44 ==	 Loss:	 0.6963127255439758 LR:	 [0.04973964965040126] Train acc:	 0.5200000405311584 Val acc:	 0.429999977350235 Test acc:	 0.5299999713897705 Patience:	 7 0.429999977350235
45 ==	 Loss:	 0.6957827806472778 LR:	 [0.049728217003410506] Train acc:	 0.5200000405311584 Val acc:	 0.429999977350235 Test acc:	 0.5299999713897705 Patience:	 6 0.429999977350235
46 ==	 Loss:	 0.6953423023223877 LR:	 [0.04971654030133554] Train acc:	 0.5200000405311584 Val acc:	 0.429999977350235 Test acc:	 0.5299999713897705 Patience:	 5 0.429999977350235
47 ==	 Loss:	 0.6948434114456177 LR:	 [0.04970461965942065] Train acc:	 0.5200000405311584 Val acc:	 0.429999977350235 Test acc:	 0.5299999713897705 Patience:	 4 0.429999977350235
48 ==	 Loss:	 0.6944448351860046 LR:	 [0.049692455195317745] Train acc:	 0.5240000486373901 Val acc:	 0.4399999976158142 Test acc:	 0.5299999713897705 Patience:	 30 0.4399999976158142
49 ==	 Loss:	 0.6939471960067749 LR:	 [0.04968004702908514] Train acc:	 0.5200000405311584 Val acc:	 0.429999977350235 Test acc:	 0.5299999713897705 Patience:	 29 0.4399999976158142
50 ==	 Loss:	 0.6935953497886658 LR:	 [0.049667395283186436] Train acc:	 0.5200000405311584 Val acc:	 0.4399999976158142 Test acc:	 0.5299999713897705 Patience:	 28 0.4399999976158142
51 ==	 Loss:	 0.6931645274162292 LR:	 [0.04965450008248922] Train acc:	 0.5360000133514404 Val acc:	 0.44999998807907104 Test acc:	 0.5299999713897705 Patience:	 30 0.44999998807907104
52 ==	 Loss:	 0.6927732825279236 LR:	 [0.04964136155426393] Train acc:	 0.527999997138977 Val acc:	 0.44999998807907104 Test acc:	 0.5399999618530273 Patience:	 29 0.44999998807907104
53 ==	 Loss:	 0.6923663020133972 LR:	 [0.04962797982818246] Train acc:	 0.5480000376701355 Val acc:	 0.44999998807907104 Test acc:	 0.5399999618530273 Patience:	 28 0.44999998807907104
54 ==	 Loss:	 0.6920253038406372 LR:	 [0.04961435503631708] Train acc:	 0.5400000214576721 Val acc:	 0.4899999797344208 Test acc:	 0.5600000023841858 Patience:	 30 0.4899999797344208
55 ==	 Loss:	 0.6917271018028259 LR:	 [0.04960048731313895] Train acc:	 0.5600000023841858 Val acc:	 0.5099999904632568 Test acc:	 0.5399999618530273 Patience:	 30 0.5099999904632568
56 ==	 Loss:	 0.6913259029388428 LR:	 [0.04958637679551686] Train acc:	 0.6000000238418579 Val acc:	 0.5299999713897705 Test acc:	 0.5999999642372131 Patience:	 30 0.5299999713897705
57 ==	 Loss:	 0.691005527973175 LR:	 [0.04957202362271594] Train acc:	 0.6320000290870667 Val acc:	 0.550000011920929 Test acc:	 0.5999999642372131 Patience:	 30 0.550000011920929
58 ==	 Loss:	 0.6906715631484985 LR:	 [0.049557427936396156] Train acc:	 0.6240000128746033 Val acc:	 0.5799999833106995 Test acc:	 0.6200000047683716 Patience:	 30 0.5799999833106995
59 ==	 Loss:	 0.6904063820838928 LR:	 [0.049542589880611075] Train acc:	 0.6320000290870667 Val acc:	 0.6200000047683716 Test acc:	 0.6399999856948853 Patience:	 30 0.6200000047683716
60 ==	 Loss:	 0.690090537071228 LR:	 [0.04952750960180622] Train acc:	 0.6520000100135803 Val acc:	 0.7299999594688416 Test acc:	 0.6200000047683716 Patience:	 30 0.7299999594688416
61 ==	 Loss:	 0.6897942423820496 LR:	 [0.049512187248817896] Train acc:	 0.6840000152587891 Val acc:	 0.699999988079071 Test acc:	 0.6699999570846558 Patience:	 29 0.7299999594688416
62 ==	 Loss:	 0.6894484162330627 LR:	 [0.04949662297287151] Train acc:	 0.7040000557899475 Val acc:	 0.7599999904632568 Test acc:	 0.6399999856948853 Patience:	 30 0.7599999904632568
63 ==	 Loss:	 0.6892238259315491 LR:	 [0.049480816927580155] Train acc:	 0.7120000123977661 Val acc:	 0.7400000095367432 Test acc:	 0.6599999666213989 Patience:	 29 0.7599999904632568
64 ==	 Loss:	 0.6889005303382874 LR:	 [0.04946476926894311] Train acc:	 0.7440000176429749 Val acc:	 0.7599999904632568 Test acc:	 0.6899999976158142 Patience:	 28 0.7599999904632568
65 ==	 Loss:	 0.6887081861495972 LR:	 [0.04944848015534425] Train acc:	 0.7400000095367432 Val acc:	 0.7599999904632568 Test acc:	 0.6800000071525574 Patience:	 27 0.7599999904632568
66 ==	 Loss:	 0.6884124875068665 LR:	 [0.04943194974755055] Train acc:	 0.7400000095367432 Val acc:	 0.7699999809265137 Test acc:	 0.6899999976158142 Patience:	 30 0.7699999809265137
67 ==	 Loss:	 0.6881551742553711 LR:	 [0.04941517820871043] Train acc:	 0.7400000095367432 Val acc:	 0.7799999713897705 Test acc:	 0.6699999570846558 Patience:	 30 0.7799999713897705
68 ==	 Loss:	 0.6878979206085205 LR:	 [0.0493981657043522] Train acc:	 0.7120000123977661 Val acc:	 0.75 Test acc:	 0.5999999642372131 Patience:	 29 0.7799999713897705
69 ==	 Loss:	 0.6876820921897888 LR:	 [0.0493809124023824] Train acc:	 0.6440000534057617 Val acc:	 0.6899999976158142 Test acc:	 0.5600000023841858 Patience:	 28 0.7799999713897705
70 ==	 Loss:	 0.687418520450592 LR:	 [0.0493634184730841] Train acc:	 0.6000000238418579 Val acc:	 0.6200000047683716 Test acc:	 0.5 Patience:	 27 0.7799999713897705
71 ==	 Loss:	 0.6871818900108337 LR:	 [0.04934568408911535] Train acc:	 0.5800000429153442 Val acc:	 0.5799999833106995 Test acc:	 0.4699999988079071 Patience:	 26 0.7799999713897705
72 ==	 Loss:	 0.6869964003562927 LR:	 [0.049327709425507286] Train acc:	 0.5760000348091125 Val acc:	 0.5600000023841858 Test acc:	 0.429999977350235 Patience:	 25 0.7799999713897705
73 ==	 Loss:	 0.6867501735687256 LR:	 [0.04930949465966262] Train acc:	 0.5680000185966492 Val acc:	 0.5600000023841858 Test acc:	 0.4399999976158142 Patience:	 24 0.7799999713897705
74 ==	 Loss:	 0.6865445971488953 LR:	 [0.049291039971353666] Train acc:	 0.5680000185966492 Val acc:	 0.5600000023841858 Test acc:	 0.429999977350235 Patience:	 23 0.7799999713897705
75 ==	 Loss:	 0.6863735914230347 LR:	 [0.04927234554272078] Train acc:	 0.5680000185966492 Val acc:	 0.5600000023841858 Test acc:	 0.429999977350235 Patience:	 22 0.7799999713897705
76 ==	 Loss:	 0.6861287355422974 LR:	 [0.049253411558270364] Train acc:	 0.5680000185966492 Val acc:	 0.5600000023841858 Test acc:	 0.429999977350235 Patience:	 21 0.7799999713897705
77 ==	 Loss:	 0.6859380602836609 LR:	 [0.0492342382048732] Train acc:	 0.5680000185966492 Val acc:	 0.5600000023841858 Test acc:	 0.429999977350235 Patience:	 20 0.7799999713897705
78 ==	 Loss:	 0.6857112050056458 LR:	 [0.04921482567176252] Train acc:	 0.5680000185966492 Val acc:	 0.5600000023841858 Test acc:	 0.429999977350235 Patience:	 19 0.7799999713897705
79 ==	 Loss:	 0.6855584383010864 LR:	 [0.04919517415053219] Train acc:	 0.5680000185966492 Val acc:	 0.5600000023841858 Test acc:	 0.429999977350235 Patience:	 18 0.7799999713897705
80 ==	 Loss:	 0.6853483319282532 LR:	 [0.04917528383513476] Train acc:	 0.5680000185966492 Val acc:	 0.5600000023841858 Test acc:	 0.429999977350235 Patience:	 17 0.7799999713897705
81 ==	 Loss:	 0.6851807236671448 LR:	 [0.04915515492187958] Train acc:	 0.5680000185966492 Val acc:	 0.5600000023841858 Test acc:	 0.429999977350235 Patience:	 16 0.7799999713897705
82 ==	 Loss:	 0.6850184798240662 LR:	 [0.04913478760943089] Train acc:	 0.5680000185966492 Val acc:	 0.5600000023841858 Test acc:	 0.429999977350235 Patience:	 15 0.7799999713897705
83 ==	 Loss:	 0.6847831010818481 LR:	 [0.049114182098805845] Train acc:	 0.5680000185966492 Val acc:	 0.5600000023841858 Test acc:	 0.429999977350235 Patience:	 14 0.7799999713897705
84 ==	 Loss:	 0.6846768260002136 LR:	 [0.04909333859337245] Train acc:	 0.5680000185966492 Val acc:	 0.5600000023841858 Test acc:	 0.429999977350235 Patience:	 13 0.7799999713897705
85 ==	 Loss:	 0.684455931186676 LR:	 [0.04907225729884772] Train acc:	 0.5680000185966492 Val acc:	 0.5600000023841858 Test acc:	 0.429999977350235 Patience:	 12 0.7799999713897705
86 ==	 Loss:	 0.6843001246452332 LR:	 [0.04905093842329546] Train acc:	 0.5680000185966492 Val acc:	 0.5600000023841858 Test acc:	 0.429999977350235 Patience:	 11 0.7799999713897705
87 ==	 Loss:	 0.6841225624084473 LR:	 [0.049029382177124374] Train acc:	 0.5680000185966492 Val acc:	 0.5600000023841858 Test acc:	 0.429999977350235 Patience:	 10 0.7799999713897705
88 ==	 Loss:	 0.6839662194252014 LR:	 [0.04900758877308589] Train acc:	 0.5680000185966492 Val acc:	 0.5600000023841858 Test acc:	 0.429999977350235 Patience:	 9 0.7799999713897705
89 ==	 Loss:	 0.6837547421455383 LR:	 [0.048985558426272065] Train acc:	 0.5680000185966492 Val acc:	 0.5600000023841858 Test acc:	 0.429999977350235 Patience:	 8 0.7799999713897705
90 ==	 Loss:	 0.6835752129554749 LR:	 [0.04896329135411354] Train acc:	 0.5680000185966492 Val acc:	 0.5600000023841858 Test acc:	 0.429999977350235 Patience:	 7 0.7799999713897705
91 ==	 Loss:	 0.6834567785263062 LR:	 [0.04894078777637728] Train acc:	 0.5680000185966492 Val acc:	 0.5600000023841858 Test acc:	 0.429999977350235 Patience:	 6 0.7799999713897705
92 ==	 Loss:	 0.6832953095436096 LR:	 [0.04891804791516451] Train acc:	 0.5680000185966492 Val acc:	 0.5600000023841858 Test acc:	 0.429999977350235 Patience:	 5 0.7799999713897705
93 ==	 Loss:	 0.683103621006012 LR:	 [0.04889507199490847] Train acc:	 0.5680000185966492 Val acc:	 0.5600000023841858 Test acc:	 0.429999977350235 Patience:	 4 0.7799999713897705
94 ==	 Loss:	 0.6829944849014282 LR:	 [0.04887186024237217] Train acc:	 0.5680000185966492 Val acc:	 0.5600000023841858 Test acc:	 0.429999977350235 Patience:	 3 0.7799999713897705
95 ==	 Loss:	 0.6828218102455139 LR:	 [0.04884841288664625] Train acc:	 0.5680000185966492 Val acc:	 0.5600000023841858 Test acc:	 0.429999977350235 Patience:	 2 0.7799999713897705
96 ==	 Loss:	 0.6826798319816589 LR:	 [0.04882473015914659] Train acc:	 0.5680000185966492 Val acc:	 0.5600000023841858 Test acc:	 0.429999977350235 Patience:	 1 0.7799999713897705
Creating training data
torch.Size([250, 2]) torch.Size([250, 1])
Ratio  +/-:	 tensor(0.4320, dtype=torch.float64)
Creating validation data
torch.Size([100, 2]) torch.Size([100, 1])
Ratio  +/-:	 tensor(0.4400, dtype=torch.float64)
Creating test data
torch.Size([100, 2]) torch.Size([100, 1])
Ratio  +/-:	 tensor(0.5700, dtype=torch.float64)
Constant classifier: 0.57
0 ==	 Loss:	 0.7573243379592896 LR:	 [0.049999753260397316] Train acc:	 0.34800001978874207 Val acc:	 0.3700000047683716 Test acc:	 0.41999998688697815 Patience:	 30 0.3700000047683716
